Title,Chunk,Metadata
Gladiator,"Gladiator (2000) is a action film directed by Ridley Scott. Featuring David Franzoni, John Logan, William Nicholson, this movie has an IMDb rating of 8.5/10 and a MetaScore of 67.0. With a runtime of 155 minutes, it is rated R.","{'Title': 'Gladiator', 'IMDb Rating': 8.5, 'Year': 2000, 'Certificates': 'R', 'Director': 'Ridley Scott', 'Star Cast': 'David Franzoni,John Logan,William Nicholson', 'MetaScore': 67.0, 'Duration (minutes)': 155.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'David Franzoni', 'Actor 2': 'John Logan', 'Actor 3': 'William Nicholson', 'Actor 4': '', 'Actor 5': ''}"
Mission: Impossible - Dead Reckoning Part One,"Mission: Impossible - Dead Reckoning Part One (2023) is a action film directed by Christopher McQuarrie. Featuring Tom Cruise, Hayley Atwell, Ving Rhames, this movie has an IMDb rating of 7.7/10 and a MetaScore of 81.0. With a runtime of 163 minutes, it is rated PG-13.","{'Title': 'Mission: Impossible - Dead Reckoning Part One', 'IMDb Rating': 7.7, 'Year': 2023, 'Certificates': 'PG-13', 'Director': 'Christopher McQuarrie', 'Star Cast': 'Tom Cruise,Hayley Atwell,Ving Rhames', 'MetaScore': 81.0, 'Duration (minutes)': 163.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tom Cruise', 'Actor 2': 'Hayley Atwell', 'Actor 3': 'Ving Rhames', 'Actor 4': '', 'Actor 5': ''}"
Inglourious Basterds,"Inglourious Basterds (2009) is a adventure film directed by Quentin Tarantino. Featuring Brad Pitt, Diane Kruger, Eli Roth, this movie has an IMDb rating of 8.4/10 and a MetaScore of 69.0. With a runtime of 153 minutes, it is rated R.","{'Title': 'Inglourious Basterds', 'IMDb Rating': 8.4, 'Year': 2009, 'Certificates': 'R', 'Director': 'Quentin Tarantino', 'Star Cast': 'Brad Pitt,Diane Kruger,Eli Roth', 'MetaScore': 69.0, 'Duration (minutes)': 153.0, 'Genres': 'Adventure', 'Genre 1': 'Adventure', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Brad Pitt', 'Actor 2': 'Diane Kruger', 'Actor 3': 'Eli Roth', 'Actor 4': '', 'Actor 5': ''}"
The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Fellowship of the Ring (2001) is a action film directed by Peter Jackson. Featuring J.R.R. TolkienFran Walsh, Philippa Boyens, this movie has an IMDb rating of 8.9/10 and a MetaScore of 92.0. With a runtime of 178 minutes, it is rated PG-13.","{'Title': 'The Lord of the Rings: The Fellowship of the Ring', 'IMDb Rating': 8.9, 'Year': 2001, 'Certificates': 'PG-13', 'Director': 'Peter Jackson', 'Star Cast': 'J.R.R. TolkienFran Walsh,Philippa Boyens', 'MetaScore': 92.0, 'Duration (minutes)': 178.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'J.R.R. TolkienFran Walsh', 'Actor 2': 'Philippa Boyens', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Damsel,"Damsel (2024) is a action film directed by Juan Carlos Fresnadillo. Featuring Millie Bobby, Brown Ray, Winstone Angela, and others, this movie has an IMDb rating of 6.1/10 and a MetaScore of 46.0. With a runtime of 110 minutes, it is rated PG-13.","{'Title': 'Damsel', 'IMDb Rating': 6.1, 'Year': 2024, 'Certificates': 'PG-13', 'Director': 'Juan Carlos Fresnadillo', 'Star Cast': 'Millie Bobby,Brown Ray,Winstone Angela,Bassett', 'MetaScore': 46.0, 'Duration (minutes)': 110.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Millie Bobby', 'Actor 2': 'Brown Ray', 'Actor 3': 'Winstone Angela', 'Actor 4': 'Bassett', 'Actor 5': ''}"
Arthur the King,"Arthur the King (2024) is a adventure film directed by Simon Cellan Jones. Featuring Mark Wahlberg, Simu Liu, Juliet Rylance, this movie has an IMDb rating of 7.0/10 and a MetaScore of 54.0. With a runtime of 107 minutes, it is rated PG-13.","{'Title': 'Arthur the King', 'IMDb Rating': 7.0, 'Year': 2024, 'Certificates': 'PG-13', 'Director': 'Simon Cellan Jones', 'Star Cast': 'Mark Wahlberg,Simu Liu,Juliet Rylance', 'MetaScore': 54.0, 'Duration (minutes)': 107.0, 'Genres': 'Adventure', 'Genre 1': 'Adventure', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Mark Wahlberg', 'Actor 2': 'Simu Liu', 'Actor 3': 'Juliet Rylance', 'Actor 4': '', 'Actor 5': ''}"
Golden Kamuy,"Golden Kamuy (2024) is a action film directed by Shigeaki Kubo. Featuring Kento Yamazaki, Anna Yamada, Yûma Yamoto, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Golden Kamuy', 'IMDb Rating': 6.3, 'Year': 2024, 'Certificates': 'R', 'Director': 'Shigeaki Kubo', 'Star Cast': 'Kento Yamazaki,Anna Yamada,Yûma Yamoto', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Kento Yamazaki', 'Actor 2': 'Anna Yamada', 'Actor 3': 'Yûma Yamoto', 'Actor 4': '', 'Actor 5': ''}"
WALL·E,"WALL·E (2008) is a animation film directed by Andrew Stanton. Featuring Ben Burtt, this movie has an IMDb rating of 8.4/10 and a MetaScore of 95.0. With a runtime of 98 minutes, it is rated G.","{'Title': 'WALL·E', 'IMDb Rating': 8.4, 'Year': 2008, 'Certificates': 'G', 'Director': 'Andrew Stanton', 'Star Cast': 'Ben Burtt', 'MetaScore': 95.0, 'Duration (minutes)': 98.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Ben Burtt', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Spider-Man: Beyond the Spider-Verse,"Spider-Man: Beyond the Spider-Verse (2015) is a animation film directed by Joaquim Dos Santos. Featuring Shameik Moore, Hailee Steinfeld, Brian Tyree, and others, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R.","{'Title': 'Spider-Man: Beyond the Spider-Verse', 'IMDb Rating': 7.1, 'Year': 2015, 'Certificates': 'R', 'Director': 'Joaquim Dos Santos', 'Star Cast': 'Shameik Moore,Hailee Steinfeld,Brian Tyree,Henry', 'MetaScore': 66.9, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Shameik Moore', 'Actor 2': 'Hailee Steinfeld', 'Actor 3': 'Brian Tyree', 'Actor 4': 'Henry', 'Actor 5': ''}"
Hercules,"Hercules (1997) is a animation film directed by Ron Clements. Featuring Tate Donovan, this movie has an IMDb rating of 7.3/10 and a MetaScore of 74.0. With a runtime of 93 minutes, it is rated G.","{'Title': 'Hercules', 'IMDb Rating': 7.3, 'Year': 1997, 'Certificates': 'G', 'Director': 'Ron Clements', 'Star Cast': 'Tate Donovan', 'MetaScore': 74.0, 'Duration (minutes)': 93.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tate Donovan', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Sing,"Sing (2016) is a animation film directed by Garth Jennings. Featuring Matthew Mc, Conaughey, this movie has an IMDb rating of 7.1/10 and a MetaScore of 59.0. With a runtime of 108 minutes, it is rated PG.","{'Title': 'Sing', 'IMDb Rating': 7.1, 'Year': 2016, 'Certificates': 'PG', 'Director': 'Garth Jennings', 'Star Cast': 'Matthew Mc,Conaughey', 'MetaScore': 59.0, 'Duration (minutes)': 108.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Matthew Mc', 'Actor 2': 'Conaughey', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Castle in the Sky,"Castle in the Sky (1986) is a animation film directed by Hayao Miyazaki. Featuring Mayumi Tanaka, this movie has an IMDb rating of 8.0/10 and a MetaScore of 78.0. With a runtime of 125 minutes, it is rated PG.","{'Title': 'Castle in the Sky', 'IMDb Rating': 8.0, 'Year': 1986, 'Certificates': 'PG', 'Director': 'Hayao Miyazaki', 'Star Cast': 'Mayumi Tanaka', 'MetaScore': 78.0, 'Duration (minutes)': 125.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Mayumi Tanaka', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
"Monsters, Inc.","Monsters, Inc. (2001) is a animation film directed by Pete Docter. Featuring Billy Crystal, this movie has an IMDb rating of 8.1/10 and a MetaScore of 79.0. With a runtime of 92 minutes, it is rated G.","{'Title': 'Monsters, Inc.', 'IMDb Rating': 8.1, 'Year': 2001, 'Certificates': 'G', 'Director': 'Pete Docter', 'Star Cast': 'Billy Crystal', 'MetaScore': 79.0, 'Duration (minutes)': 92.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Billy Crystal', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Tangled,"Tangled (2010) is a animation film directed by Nathan Greno. Featuring Mandy Moore, this movie has an IMDb rating of 7.7/10 and a MetaScore of 71.0. With a runtime of 100 minutes, it is rated PG.","{'Title': 'Tangled', 'IMDb Rating': 7.7, 'Year': 2010, 'Certificates': 'PG', 'Director': 'Nathan Greno', 'Star Cast': 'Mandy Moore', 'MetaScore': 71.0, 'Duration (minutes)': 100.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Mandy Moore', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Up,"Up (2009) is a animation film directed by Pete Docter. Featuring Edward Asner, this movie has an IMDb rating of 8.3/10 and a MetaScore of 88.0. With a runtime of 96 minutes, it is rated PG.","{'Title': 'Up', 'IMDb Rating': 8.3, 'Year': 2009, 'Certificates': 'PG', 'Director': 'Pete Docter', 'Star Cast': 'Edward Asner', 'MetaScore': 88.0, 'Duration (minutes)': 96.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Edward Asner', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
