source_row_id,Title,IMDb Rating,Year,Certificates,Director,Star Cast,MetaScore,Duration (minutes),Poster-src,Genres
0,Gladiator,8.5,2000,R,Ridley Scott,"David Franzoni,John Logan,William Nicholson",67.0,155.0,No Poster Available,Action
1,Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Christopher McQuarrie,"Tom Cruise,Hayley Atwell,Ving Rhames",81.0,163.0,No Poster Available,Action
2,Inglourious Basterds,8.4,2009,R,Quentin Tarantino,"Brad Pitt,Diane Kruger,Eli Roth",69.0,153.0,No Poster Available,Adventure
3,The Lord of the Rings: The Fellowship of the Ring,8.9,2001,PG-13,Peter Jackson,"J.R.R. TolkienFran Walsh,Philippa Boyens",92.0,178.0,No Poster Available,Action
4,Damsel,6.1,2024,PG-13,Juan Carlos Fresnadillo,"Millie Bobby,Brown Ray,Winstone Angela,Bassett",46.0,110.0,No Poster Available,Action
5,Arthur the King,7.0,2024,PG-13,Simon Cellan Jones,"Mark Wahlberg,Simu Liu,Juliet Rylance",54.0,107.0,No Poster Available,Adventure
6,Golden Kamuy,6.3,2024,R,Shigeaki Kubo,"Kento Yamazaki,Anna Yamada,Yûma Yamoto",66.0,116.3,No Poster Available,Action
7,WALL·E,8.4,2008,G,Andrew Stanton,Ben Burtt,95.0,98.0,"https://m.media-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
8,Spider-Man: Beyond the Spider-Verse,7.1,2015,R,Joaquim Dos Santos,"Shameik Moore,Hailee Steinfeld,Brian Tyree,Henry",66.9,116.3,No Poster Available,Animation
9,Hercules,7.3,1997,G,Ron Clements,Tate Donovan,74.0,93.0,"https://m.media-amazon.com/images/M/MV5BZDcwYjEyNWItMGI1Mi00MjI1LWIyMDEtMTQ4YjhkNjM4NDU3XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
10,Sing,7.1,2016,PG,Garth Jennings,"Matthew Mc,Conaughey",59.0,108.0,"https://m.media-amazon.com/images/M/MV5BMTYzODYzODU2Ml5BMl5BanBnXkFtZTgwNTc1MTA2NzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
11,Castle in the Sky,8.0,1986,PG,Hayao Miyazaki,Mayumi Tanaka,78.0,125.0,"https://m.media-amazon.com/images/M/MV5BNDFhZmY2NTgtMzljYy00MTlhLTgyMjItNTEwZWJkYThhYzkyXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",Animation
12,"Monsters, Inc.",8.1,2001,G,Pete Docter,Billy Crystal,79.0,92.0,"https://m.media-amazon.com/images/M/MV5BMTY1NTI0ODUyOF5BMl5BanBnXkFtZTgwNTEyNjQ0MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
13,Tangled,7.7,2010,PG,Nathan Greno,Mandy Moore,71.0,100.0,"https://m.media-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
14,Up,8.3,2009,PG,Pete Docter,Edward Asner,88.0,96.0,"https://m.media-amazon.com/images/M/MV5BYjBkM2RjMzItM2M3Ni00N2NjLWE3NzMtMGY4MzE4MDAzMTRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
15,Toy Story,8.3,1995,G,John Lasseter,Tom Hanks,96.0,81.0,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_QL75_UX190_CR0,1,190,281_.jpg",Animation
16,Puss in Boots: The Last Wish,7.8,2022,PG,Joel Crawford,Antonio Banderas,73.0,102.0,"https://m.media-amazon.com/images/M/MV5BNjMyMDBjMGUtNDUzZi00N2MwLTg1MjItZTk2MDE1OTZmNTYxXkEyXkFqcGdeQXVyMTQ5NjA0NDM0._V1_QL75_UX190_CR0,4,190,281_.jpg",Animation
17,Encanto,7.2,2021,PG,Jared Bush,Stephanie Beatriz,75.0,102.0,"https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
18,Coco,8.4,2017,PG,Lee Unkrich,Anthony Gonzalez,81.0,105.0,"https://m.media-amazon.com/images/M/MV5BYjQ5NjM0Y2YtNjZkNC00ZDhkLWJjMWItN2QyNzFkMDE3ZjAxXkEyXkFqcGdeQXVyODIxMzk5NjA@._V1_QL75_UY281_CR4,0,190,281_.jpg",Animation
19,Frozen,7.4,2013,PG,Chris Buck,Kristen Bell,75.0,102.0,"https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
20,Mufasa: The Lion King,7.1,2024,R,Barry Jenkins,"Linda Woolverton,Irene Mecchi,Jonathan Roberts",66.9,116.3,No Poster Available,Animation
21,Howl's Moving Castle,8.2,2004,PG,Hayao Miyazaki,Chieko Baishô,82.0,119.0,"https://m.media-amazon.com/images/M/MV5BMTY1OTg0MjE3MV5BMl5BanBnXkFtZTcwNTUxMTkyMQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
22,Zootopia,8.0,2016,PG,Byron Howard,Ginnifer Goodwin,78.0,108.0,"https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Animation
